                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo

1000           CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1000000001     CAPITAL SOCIAL                                        -6.000,00      6.000,00         0,00                0,00
1146           RESERVAS DE REVALORIZACIÓN                                 0,00      2.192,09     2.192,09                0,00
1146000001     RESERVA CAPITALIZAACION 2020                               0,00      1.496,62     1.496,62                0,00
1146000002     RESERVA NIVELACION 2020                                    0,00        695,47       695,47                0,00
1180           APORTACIONES DE SOCIOS O PROPIETARIOS                -75.088,86     75.088,86         0,00                0,00
1180000001     APORTACION SOCIOS                                    -75.088,86     75.088,86         0,00                0,00
1200           REMANENTE                                            -19.850,49     68.292,99    48.442,50                0,00
1200000001     REMANENTE EJERCICIO 2009                              -1.660,49      1.660,49         0,00                0,00
1200000002     REMANENTE EJER 2010                                   -2.321,58      2.321,58         0,00                0,00
1200000003     REMANENTE EJERCICIO 2011                             -15.868,42     15.868,42         0,00                0,00
1200000010     REMANENTE EJER 2020                                        0,00     48.442,50    48.442,50                0,00
1210           RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES         42.243,19          0,00    42.243,19                0,00
1210000005     RESULOT NEGAT EJER 2012                               16.660,37          0,00    16.660,37                0,00
1210000006     RESULT NEGAT EJER 2015                                13.384,55          0,00    13.384,55                0,00
1210000007     RESULT NEGAT EJERC 2018                               12.198,27          0,00    12.198,27                0,00
1290           RESULTADO DEL EJERCICIO                              -48.442,50     55.582,16     7.139,66                0,00
1290000000     RESULTADO DEL EJERCICIO                              -48.442,50     55.582,16     7.139,66                0,00
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO        -15.924,75     15.924,75         0,00                0,00
1700000002     PTMO 807581698293                                    -15.924,75     15.924,75         0,00                0,00
2110           CONSTRUCCIONES                                        29.862,39          0,00    29.862,39                0,00
2110000001     REFORMA BAJO OPT. 12/11                               17.140,10          0,00    17.140,10                0,00
2110000002     REFOR.TIENDA 2012                                     12.722,29          0,00    12.722,29                0,00
2130           MAQUINARIA                                            54.319,49          0,00    54.319,49                0,00
2130000000     MAQUINARIA                                             4.500,00          0,00     4.500,00                0,00
2130000002     BISELADORA 04/06                                      27.193,53          0,00    27.193,53                0,00
2130000003     COL. DE REFRAC,FOROP,PROY.5/10                         2.803,74          0,00     2.803,74                0,00
2130000004     SOLDADORA ELECTRICA 03/11                              3.100,00          0,00     3.100,00                0,00
2130000005     AUDIOMETRO                                            12.222,22          0,00    12.222,22                0,00
2130000006     TRACER HUVITZ                                          4.500,00          0,00     4.500,00                0,00
2150           OTRAS INSTALACIONES                                    2.800,00          0,00     2.800,00                0,00
2150000002     CABINA AUDIOMETRIA                                     2.800,00          0,00     2.800,00                0,00
2650           DEPÓSITOS CONSTITUIDOS A LARGO PLAZO                  10.838,01          0,00    10.838,01                0,00
2650000001     DEPOSITO SEA BRIGADA SANIDAD                          10.838,01          0,00    10.838,01                0,00
2811           AMORTIZACIÓN ACUMULADA DE CONSTRUCCIONES             -15.957,00     17.748,75     1.791,75                0,00
2811000001     AMORT.ACUM.REFOR.2011 6%                              -9.341,39     10.369,80     1.028,41                0,00
2811000002     AMORT.ACUM.REFORMA TIENDA 5/12                        -6.615,61      7.378,95       763,34                0,00
2813           AMORTIZACIÓN ACUMULADA DE MAQUINARIA                 -47.866,54     49.216,54     1.350,00                0,00
2813000000     AMORTIZACIÓN ACUMULADA DE MAQUINARIA                  -1.521,99      2.196,99       675,00                0,00
2813000002     AMORT.ACUM.BISELADORA 18%                            -25.714,62     25.714,62         0,00                0,00
2813000003     AMORT.ACUM.CULIMN.REFRE 18%                           -2.803,74      2.803,74         0,00                0,00
2813000004     AMORT.ACUM.SOLD.ELEC. 15%                             -3.100,00      3.100,00         0,00                0,00
2813000005     AMORT.ACUM.AUDIMETRO 3/12 15%                        -12.222,22     12.222,22         0,00                0,00
2813000006     AMORT ACUM TREACER HUVITZ                             -2.503,97      3.178,97       675,00                0,00
3000           MERCADERÍAS A                                          6.890,00     23.159,00    30.049,00                0,00
3000000001     EXISTENCIAS                                            6.890,00     23.159,00    30.049,00                0,00
4000           PROVEEDORES (EUROS)                                   -7.440,60    222.255,76   214.815,16                0,00
4000000003     IND.DE OPTICA PRATS, SL                                  144,48     43.492,30    43.636,78                0,00
4000000008     S.C.COPTIVAL ZAS VISION                                    0,00         57,97        57,97                0,00
4000000013     MUNDOPTICA EUROPA GRUPO, SRL                               0,00        506,66       506,66                0,00
4000000026     KIMERVERSION, SL                                           0,00         50,16        50,16                0,00
4000000027     COOPERVISION IBERIA, SRLU                               -943,07      9.669,81     8.726,74                0,00
4000000039     DIST.IBERICA PRODUCTOS OPTCICO                             0,00         59,78        59,78                0,00
4000000047     KIMERVISION, SL                                            0,00        105,60       105,60                0,00
4000000049     EYE ART, SL                                                0,00        297,89       297,89                0,00
4000000050     VISUALENS LABS                                             0,00     88.544,31    88.544,31                0,00
4000000052     DISPO                                                    -28,38         28,38         0,00                0,00
4000000053     DE RIGO VISION ESPAÑA, SAU                                 0,00      1.048,14     1.048,14                0,00
4000000056     DIGI                                                       0,00        645,72       645,72                0,00
4000000057     AZURITE, SLU                                               0,00        184,26       184,26                0,00
4000000058     DEIPE                                                      0,00        702,00       702,00                0,00
4000000059     ABOUT KEONS, SL                                       -1.352,26     23.636,28    22.284,02                0,00
4000000060     FITTINGBOX                                                 0,00      5.449,48     5.449,48                0,00
4000000062     SHENZHEN SHI AI SHANG YANGGUANG MAOYI YOUXIAN              0,00          8,99         8,99                0,00
4000000063     DISOP, SA                                                  0,00        113,52       113,52                0,00
4000000064     SEQURA WORLDWIDE, SA                                       0,00         41,09        41,09                0,00
4000000065     ARENA OPTICA 16, SL                                        0,00        401,65       401,65                0,00
4000000066     PROOPTICA                                                  0,00        340,99       340,99                0,00
4000000105     LENTIMOP, SL                                             -35,51        197,24       161,73                0,00
4000000108     DELY ORGAZ, SL                                             0,00        297,03       297,03                0,00
4000000115     ASP 96, SL                                               -49,50      3.072,12     3.022,62                0,00
4000000116     CARL ZEISS VISION, SL                                 -3.310,92     30.286,30    26.975,38                0,00
4000000118     VISIONIS DISTRIBUCION, SL                             -1.095,99     10.983,33     9.887,34                0,00
4000000119     DALT DEL SOL, SL                                        -769,45      2.034,76     1.265,31                0,00
4100           ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS       -4.176,63    106.400,72   102.224,09                0,00
4100000005     TELEFONICA DE ESPAÑA, SA                                   0,00      2.065,47     2.065,47                0,00

                                SUMA PARCIAL.......                -89.617,66     537.526,37   447.908,71                0,00


BALANCE DE SUMAS Y SALDOS                                                                                           Página 1
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                             SUMA ANTERIOR.......            -89.617,66     537.526,37   447.908,71                0,00

4100000006     VODAFONE ESPAÑA, SA                                  0,00      1.037,96     1.037,96                0,00
4100000018     MADENJO, SL                                          0,00         19,46        19,46                0,00
4100000021     DGA CONSULTORES, SL                                  0,00      5.304,64     5.304,64                0,00
4100000043     PASTOR BENSACH, VERONICA                             0,00      6.122,52     6.122,52                0,00
4100000057     REGISTROS MERCANTIL DE VALENCIA                      0,00        178,63       178,63                0,00
4100000058     LEROY MERLIN                                         0,00        956,84       956,84                0,00
4100000066     HERGAR, CB                                           0,00      6.120,00     6.120,00                0,00
4100000068     OPTICA BENIMAMET, SL                                 0,00        200,00       200,00                0,00
4100000077     NABALIA ENERGIA, SA                                  0,00      3.216,42     3.216,42                0,00
4100000079     HABALIA ENERGIA, SA                                  0,00        577,30       577,30                0,00
4100000083     APPLE DISTRIBUCION INTERNACIONAL                     0,00      1.818,00     1.818,00                0,00
4100000086     FNMT                                                 0,00         16,94        16,94                0,00
4100000101     GOMEZ POLO PATRIMONIAL, SL                           0,00     22.644,00    22.644,00                0,00
4100000102     GOOGLE                                               0,00     15.799,75    15.799,75                0,00
4100000103     PYMEXTEL, SLU                                   -1.996,50     13.590,72    11.594,22                0,00
4100000106     INGENIERIA DE SISTEMAS, SL ASETEG                    0,00        121,00       121,00                0,00
4100000107     DE LAGE LANDEN INTERNACIONAL B.V.               -2.107,53     12.429,73    10.322,20                0,00
4100000109     COPIFORMES, SL                                       0,00         38,72        38,72                0,00
4100000110     VENTURI DIGITAL INVESTMENT, SL                     -72,60        313,71       241,11                0,00
4100000113     SDAD ESTALAT CORREOS Y TELEGARFOS, SA                0,00      2.830,81     2.830,81                0,00
4100000115     VALFIRE SISTEMAS, SL                                 0,00         54,33        54,33                0,00
4100000117     LAZO IMPRESORES, SL                                  0,00        201,28       201,28                0,00
4100000118     LAZO IMPRESORES, SL                                  0,00         26,62        26,62                0,00
4100000119     ARCE MIÑANA, LUIS                                    0,00        706,04       706,04                0,00
4100000120     ELECTRONICS STORE, SRLS                              0,00        238,99       238,99                0,00
4100000121     DISPUBLIC SERVICIOS DE PUBLICIDAD, SL                0,00        554,18       554,18                0,00
4100000122     SANITAS                                              0,00      5.066,42     5.066,42                0,00
4100000123     INTEGRAL SERVICIOS PUZOL, SL                         0,00      3.630,00     3.630,00                0,00
4100000124     SANTERFOUD 1025, SL                                  0,00        379,00       379,00                0,00
4100000125     WINBITS, SLU                                         0,00         37,40        37,40                0,00
4100000126     VALERI CARRASQUEL, MARLIN                            0,00         68,99        68,99                0,00
4100000127     LAZO IMPRESORES, SL                                  0,00         34,85        34,85                0,00
4300           CLIENTES (EUROS)                                28.086,63    460.599,07   488.685,70                0,00
4300000018     OPTICA DE CASTRO                                    11,37        121,89       133,26                0,00
4300000021     MAYOR CRISTINA                                      22,99         31,70        54,69                0,00
4300000033     OPTICA MAR ARGUDO                                   13,07        271,53       284,60                0,00
4300000040     MAR ARGUDO OPTICA                                   28,68          0,00        28,68                0,00
4300000041     TERESA GONZALEZ MORET                              379,94      3.891,95     4.271,89                0,00
4300000042     DIRVOP, SL                                         454,78        589,56     1.044,34                0,00
4300000043     GARCIA CONTELL-PONS, CB                              0,00      1.482,11     1.482,11                0,00
4300000050     DEVIS LLORET, Mª ISABEL                             82,29      1.062,25     1.144,54                0,00
4300000051     PASCUAL COTANDA, ANA                                23,60        437,07       460,67                0,00
4300000052     RIBELLES LERGA, AMADEO                               0,00        141,41       141,41                0,00
4300000058     CATALA ESCRIVA, LAURA                                0,00        316,54       316,54                0,00
4300000062     SDA COOP. COPTIVAL ZAS VISION                        0,00      1.291,71     1.291,71                0,00
4300000068     GIMENO ZARAGOZA, ANGELA                              0,00          4,72         4,72                0,00
