                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                   FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo

1000           CAPITAL SOCIAL                                        -6.000,00         0,00        0,00            -6.000,00
1000000001     CAPITAL SOCIAL                                        -6.000,00         0,00        0,00            -6.000,00
1120           RESERVA LEGAL                                         -1.500,00         0,00        0,00            -1.500,00
1120000000     RESERVA LEGAL                                         -1.500,00         0,00        0,00            -1.500,00
1146           RESERVAS DE REVALORIZACIÓN                           -14.416,21         0,00        0,00           -14.416,21
1146000001     RESERVA CAPITALIZAACION 2020                          -1.496,62         0,00        0,00            -1.496,62
1146000002     RESERVA NIVELACION 2020                                 -695,47         0,00        0,00              -695,47
1146000003     RESERVA NIVELACION 2021                                 -761,57         0,00        0,00              -761,57
1146000004     RESERVA CAPITALIZACION 2022                             -714,07         0,00        0,00              -714,07
1146000005     RESERVA NIVELACION 2022                               -3.022,09         0,00        0,00            -3.022,09
1146000006     RESERVA CAPITALIZACION 2023                           -1.871,22         0,00        0,00            -1.871,22
1146000007     RESERVA NIVELACION 2023                               -5.855,17         0,00        0,00            -5.855,17
1200           REMANENTE                                            -90.924,70         0,00        0,00           -90.924,70
1200000001     REMANENTE EJERCICIO 2009                              -1.660,49         0,00        0,00            -1.660,49
1200000002     REMANENTE EJER 2010                                   -2.321,58         0,00        0,00            -2.321,58
1200000003     REMANENTE EJERCICIO 2011                             -15.868,42         0,00        0,00           -15.868,42
1200000010     REMANENTE EJER 2020                                   -4.978,24         0,00        0,00            -4.978,24
1200000011     REMANENTE EJER 2021                                   -7.139,66         0,00        0,00            -7.139,66
1200000012     REMANENTE EJER 2022                                  -18.712,28         0,00        0,00           -18.712,28
1200000013     REMANENTE EJER 2023                                  -40.244,03         0,00        0,00           -40.244,03
1210           RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES         14.593,82    14.170,83   14.170,83            14.593,82
1210000000     RESULTADOS NEGATIVOS DE EJERCICIOS ANTERIORES         14.170,83         0,00   14.170,83                 0,00
1210000005     RESULOT NEGAT EJER 2012                                  422,99         0,00        0,00               422,99
1210000008     RESULT NEGAT EJER 2024                                     0,00    14.170,83        0,00            14.170,83
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO        -15.924,75         0,00        0,00           -15.924,75
1700000002     PTMO 807581698293                                    -15.924,75         0,00        0,00           -15.924,75
2110           CONSTRUCCIONES                                        29.862,39         0,00        0,00            29.862,39
2110000001     REFORMA BAJO OPT. 12/11                               17.140,10         0,00        0,00            17.140,10
2110000002     REFOR.TIENDA 2012                                     12.722,29         0,00        0,00            12.722,29
2130           MAQUINARIA                                            54.319,49         0,00        0,00            54.319,49
2130000000     MAQUINARIA                                             4.500,00         0,00        0,00             4.500,00
2130000002     BISELADORA 04/06                                      27.193,53         0,00        0,00            27.193,53
2130000003     COL. DE REFRAC,FOROP,PROY.5/10                         2.803,74         0,00        0,00             2.803,74
2130000004     SOLDADORA ELECTRICA 03/11                              3.100,00         0,00        0,00             3.100,00
2130000005     AUDIOMETRO                                            12.222,22         0,00        0,00            12.222,22
2130000006     TRACER HUVITZ                                          4.500,00         0,00        0,00             4.500,00
2150           OTRAS INSTALACIONES                                    2.800,00         0,00        0,00             2.800,00
2150000002     CABINA AUDIOMETRIA                                     2.800,00         0,00        0,00             2.800,00
2650           DEPÓSITOS CONSTITUIDOS A LARGO PLAZO                  10.838,01         0,00        0,00            10.838,01
2650000001     DEPOSITO SEA BRIGADA SANIDAD                          10.838,01         0,00        0,00            10.838,01
2811           AMORTIZACIÓN ACUMULADA DE CONSTRUCCIONES             -23.124,00         0,00    1.791,75           -24.915,75
2811000001     AMORT.ACUM.REFOR.2011 6%                             -13.455,03         0,00    1.028,41           -14.483,44
2811000002     AMORT.ACUM.REFORMA TIENDA 5/12                        -9.668,97         0,00      763,34           -10.432,31
2813           AMORTIZACIÓN ACUMULADA DE MAQUINARIA                 -52.562,57         0,00      278,01           -52.840,58
2813000000     AMORTIZACIÓN ACUMULADA DE MAQUINARIA                  -4.221,99         0,00      278,01            -4.500,00
2813000002     AMORT.ACUM.BISELADORA 18%                            -25.714,62         0,00        0,00           -25.714,62
2813000003     AMORT.ACUM.CULIMN.REFRE 18%                           -2.803,74         0,00        0,00            -2.803,74
2813000004     AMORT.ACUM.SOLD.ELEC. 15%                             -3.100,00         0,00        0,00            -3.100,00
2813000005     AMORT.ACUM.AUDIMETRO 3/12 15%                        -12.222,22         0,00        0,00           -12.222,22
2813000006     AMORT ACUM TREACER HUVITZ                             -4.500,00         0,00        0,00            -4.500,00
3000           MERCADERÍAS A                                         58.900,00         0,00        0,00            58.900,00
3000000001     EXISTENCIAS                                           58.900,00         0,00        0,00            58.900,00
4000           PROVEEDORES (EUROS)                                  -56.123,43    69.236,15   63.993,54           -50.880,82
4000000003     IND.DE OPTICA PRATS, SL                               -3.882,34       659,11      352,15            -3.575,38
4000000008     S.C.COPTIVAL ZAS VISION                                    0,00       159,93      159,93                 0,00
4000000014     CIOSA, SL                                                  0,00    48.993,90   41.775,54             7.218,36
