                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: VISUALENS LABS, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo

1000           CAPITAL SOCIAL                                       -3.000,00          0,00        0,00            -3.000,00
1000000001     CAPITAL SOCIAL                                       -3.000,00          0,00        0,00            -3.000,00
1120           RESERVA LEGAL                                          -750,00          0,00        0,00              -750,00
1120000000     RESERVA LEGAL                                          -750,00          0,00        0,00              -750,00
1146           RESERVAS DE REVALORIZACIÓN                           -9.343,31          0,00        0,00            -9.343,31
1146000001     RESERVA CAPITALIZACION 2022                          -1.691,14          0,00        0,00            -1.691,14
1146000002     RESERVA NIVELACION 2022                              -2.890,36          0,00        0,00            -2.890,36
1146000003     RESERVA CAPITALIZACION 2023                          -1.928,08          0,00        0,00            -1.928,08
1146000004     RESERVA NIVELACION 2023                              -2.833,73          0,00        0,00            -2.833,73
1200           REMANENTE                                           -56.581,20          0,00        0,00           -56.581,20
1200000001     REMANENTE EJER 2020                                    -956,01          0,00        0,00              -956,01
1200000002     REMANENTE EJER 2021                                 -16.911,38          0,00        0,00           -16.911,38
1200000003     REMANENTE EJER 2022                                 -19.280,86          0,00        0,00           -19.280,86
1200000004     REMANENTE EJER 2023                                 -19.432,95          0,00        0,00           -19.432,95
1290           RESULTADO DEL EJERCICIO                             -13.257,48          0,00        0,00           -13.257,48
1290000000     RESULTADO DEL EJERCICIO                             -13.257,48          0,00        0,00           -13.257,48
1700           DEUDAS A LARGO PLAZO CON ENTIDADES DE CRÉDITO       -14.022,38          0,00        0,00           -14.022,38
1700000001     PTO SABADELL                                        -14.022,38          0,00        0,00           -14.022,38
3000           MERCADERÍAS A                                         2.890,00          0,00        0,00             2.890,00
3000000000     MERCADERÍAS A                                         2.890,00          0,00        0,00             2.890,00
4000           PROVEEDORES (EUROS)                                 -37.807,78      2.058,65   19.785,46           -55.534,59
4000000001     DANYANG CHANGXING OPTICAL GLASSES FACTORY              -186,00          0,00        0,00              -186,00
